SpaceType,Type,MajorCategory,MinorCategory,Status
LIVING ROOM,EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
LOBBY,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
PRIVATE HALL,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
BEDROOM,EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BEDROOM,EMERGENCY,PLUMBING,RADIATOR,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BEDROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BEDROOM,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,PAINT/PLASTER,RADIATOR,OPEN
ENTIRE APARTMENT,EMERGENCY,SAFETY,SMOKE DETECTOR,OPEN
BATHROOM,EMERGENCY,DOOR/WINDOW,WINDOW PANE,OPEN
BATHROOM,NON EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BEDROOM,EMERGENCY,PLUMBING,RADIATOR,OPEN
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,GENERAL,VENTILATION SYSTEM,OPEN
BATHROOM,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
OTHER ROOM/AREA,EMERGENCY,ELECTRIC,NO LIGHTING,OPEN
LIVING ROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
ENTIRE APARTMENT,EMERGENCY,SAFETY,CARBON MONOXIDE DETECTOR,OPEN
KITCHEN,NON EMERGENCY,ELECTRIC,LIGHTING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
AIR SHAFT,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,SAFETY,SMOKE DETECTOR,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LIVING ROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,OPEN
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LIVING ROOM,NON EMERGENCY,PAINT/PLASTER,WINDOW/FRAME,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
LOBBY,EMERGENCY,DOOR/WINDOW,DOOR,CLOSE
BATHROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,PLUMBING,WATER SUPPLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
KITCHEN,EMERGENCY,UNSANITARY CONDITION,SEWAGE,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,OPEN
ENTIRE APARTMENT,EMERGENCY,PLUMBING,WATER SUPPLY,CLOSE
KITCHEN,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BEDROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE
HALLWAY,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,CLOSE
LIVING ROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
KITCHEN,NON EMERGENCY,GENERAL,CABINET,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,PLUMBING,TOILET,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING ENTRANCE,NON EMERGENCY,ELECTRIC,NO LIGHTING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
KITCHEN,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,WATER LEAK,DAMP SPOT,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
KITCHEN,EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LIVING ROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
LIVING ROOM,EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
LIVING ROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
KITCHEN,NON EMERGENCY,GENERAL,CABINET,CLOSE
ENTIRE APARTMENT,EMERGENCY,SAFETY,CARBON MONOXIDE DETECTOR,CLOSE
LIVING ROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
OTHER ROOM/AREA,NON EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
KITCHEN,NON EMERGENCY,APPLIANCE,REFRIGERATOR,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
KITCHEN,NON EMERGENCY,GENERAL,CABINET,OPEN
BEDROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,IMMEDIATE EMERGENCY,ELECTRIC,POWER OUTAGE,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BATHROOM,EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
ENTIRE APARTMENT,EMERGENCY,GENERAL,COOKING GAS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
OTHER ROOM/AREA,EMERGENCY,PLUMBING,RADIATOR,OPEN
LIVING ROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,NON EMERGENCY,GENERAL,CABINET,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
KITCHEN,NON EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
BATHROOM,NON EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
LIVING ROOM,NON EMERGENCY,WATER LEAK,DAMP SPOT,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BATHROOM,NON EMERGENCY,GENERAL,VENTILATION SYSTEM,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,ELECTRIC,POWER OUTAGE,CLOSE
ENTIRE APARTMENT,EMERGENCY,SAFETY,SMOKE DETECTOR,CLOSE
BATHROOM,EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
OTHER ROOM/AREA,IMMEDIATE EMERGENCY,PLUMBING,STEAM PIPE/RISER,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,PLUMBING,TOILET,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING ENTRANCE,EMERGENCY,OUTSIDE BUILDING,PAVEMENT,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ROOF,EMERGENCY,OUTSIDE BUILDING,SKYLIGHT,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,IMMEDIATE EMERGENCY,ELECTRIC,POWER OUTAGE,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
BATHROOM,IMMEDIATE EMERGENCY,PLUMBING,WATER SUPPLY,CLOSE
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
ENTRANCE/FOYER,EMERGENCY,ELECTRIC,WIRING,OPEN
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,GENERAL,COOKING GAS,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BUILDING ENTRANCE,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,CLOSE
KITCHEN,NON EMERGENCY,PLUMBING,BASIN/SINK,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BEDROOM,NON EMERGENCY,ELECTRIC,LIGHTING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
ENTIRE APARTMENT,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
ENTIRE APARTMENT,EMERGENCY,PLUMBING,WATER SUPPLY,OPEN
LOBBY,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
LIVING ROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,NON EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTRANCE/FOYER,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTRANCE/FOYER,EMERGENCY,DOOR/WINDOW,DOOR,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,SAFETY,CARBON MONOXIDE DETECTOR,CLOSE
YARD,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ELEVATOR,NON EMERGENCY,ELEVATOR,MAINTENANCE,OPEN
ENTIRE APARTMENT,EMERGENCY,GENERAL,COOKING GAS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LIVING ROOM,EMERGENCY,PLUMBING,RADIATOR,OPEN
LIVING ROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,OPEN
LIVING ROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
LIVING ROOM,EMERGENCY,SAFETY,WINDOW GUARD BROKEN/MISSING,OPEN
LIVING ROOM,EMERGENCY,SAFETY,FIRE ESCAPE,OPEN
BUILDING ENTRANCE,NON EMERGENCY,GENERAL,MAILBOX,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BEDROOM,EMERGENCY,SAFETY,WINDOW GUARD BROKEN/MISSING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
OTHER ROOM/AREA,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
ENTRANCE/FOYER,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTRANCE/FOYER,NON EMERGENCY,DOOR/WINDOW,DOOR FRAME,CLOSE
ENTIRE APARTMENT,IMMEDIATE EMERGENCY,ELECTRIC,POWER OUTAGE,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
BATHROOM,EMERGENCY,ELECTRIC,NO LIGHTING,OPEN
ENTIRE APARTMENT,EMERGENCY,ELECTRIC,WIRING,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,EMERGENCY,SAFETY,SMOKE DETECTOR,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
KITCHEN,NON EMERGENCY,APPLIANCE,REFRIGERATOR,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
BUILDING ENTRANCE,NON EMERGENCY,GENERAL,MAILBOX,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
KITCHEN,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,SAFETY,SMOKE DETECTOR,OPEN
BUILDING ENTRANCE,NON EMERGENCY,DOOR/WINDOW,DOOR FRAME,OPEN
BEDROOM,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,PLUMBING,RADIATOR,OPEN
KITCHEN,NON EMERGENCY,GENERAL,VENTILATION SYSTEM,OPEN
BATHROOM,NON EMERGENCY,GENERAL,VENTILATION SYSTEM,OPEN
KITCHEN,EMERGENCY,GENERAL,CABINET,CLOSE
BUILDING ENTRANCE,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BASEMENT,NON EMERGENCY,DOOR/WINDOW,DOOR FRAME,OPEN
KITCHEN,NON EMERGENCY,GENERAL,VENTILATION SYSTEM,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,NON EMERGENCY,GENERAL,VENTILATION SYSTEM,OPEN
KITCHEN,NON EMERGENCY,GENERAL,CABINET,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
BASEMENT,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW PANE,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
KITCHEN,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BEDROOM,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,SAFETY,SMOKE DETECTOR,CLOSE
BATHROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
